Organizationcode,organizationid,Organizationname,Schoolyear,Test Administration (group),Test Subject,Percent Taking WaAIM,Denominator ExcludingPP,PercentMet IncludingPP
,100001,Educational Service District 101,2017-18,General,English Language Arts,1.14%,"47,690",59.8%
,100001,Educational Service District 101,2017-18,General,Math,1.14%,"47,692",48.7%
,100001,Educational Service District 101,2017-18,General,Science,1.08%,"20,430",49.8%
,100002,Educational Service District 105,2017-18,General,English Language Arts,1.03%,"34,171",44.3%
,100002,Educational Service District 105,2017-18,General,Math,1.02%,"34,189",37.9%
,100002,Educational Service District 105,2017-18,General,Science,0.95%,"14,391",32.7%
,100003,Educational Service District 112,2017-18,General,English Language Arts,0.90%,"54,088",56.6%
,100003,Educational Service District 112,2017-18,General,Math,0.90%,"54,060",45.5%
,100003,Educational Service District 112,2017-18,General,Science,0.87%,"23,120",45.1%
,100004,Capital Region ESD 113,2017-18,General,English Language Arts,0.96%,"38,612",58.5%
,100004,Capital Region ESD 113,2017-18,General,Math,0.97%,"38,611",47.0%
,100004,Capital Region ESD 113,2017-18,General,Science,0.87%,"16,427",46.1%
,100005,Olympic Educational Service District 114,2017-18,General,English Language Arts,0.94%,"24,350",59.2%
,100005,Olympic Educational Service District 114,2017-18,General,Math,0.93%,"24,343",47.3%
,100005,Olympic Educational Service District 114,2017-18,General,Science,0.68%,"10,818",48.5%
,100006,Puget Sound Educational Service District 121,2017-18,General,English Language Arts,0.92%,"225,768",65.1%
,100006,Puget Sound Educational Service District 121,2017-18,General,Math,0.92%,"226,013",56.4%
,100006,Puget Sound Educational Service District 121,2017-18,General,Science,0.83%,"95,083",50.4%
,100007,Educational Service District 123,2017-18,General,English Language Arts,0.98%,"39,614",49.7%
,100007,Educational Service District 123,2017-18,General,Math,0.98%,"39,601",38.8%
,100007,Educational Service District 123,2017-18,General,Science,0.90%,"16,682",34.9%
,100008,North Central Educational Service District 171,2017-18,General,English Language Arts,0.94%,"25,387",50.0%
,100008,North Central Educational Service District 171,2017-18,General,Math,0.94%,"25,382",37.6%
,100008,North Central Educational Service District 171,2017-18,General,Science,0.94%,"10,695",39.0%
,100009,Northwest Educational Service District 189,2017-18,General,English Language Arts,0.96%,"87,169",60.2%
,100009,Northwest Educational Service District 189,2017-18,General,Math,0.96%,"87,192",49.3%
,100009,Northwest Educational Service District 189,2017-18,General,Science,0.92%,"37,634",47.4%
,105798,Washington State Charter School Commission,2017-18,General,English Language Arts,0.67%,"1,033",48.5%
,105798,Washington State Charter School Commission,2017-18,General,Math,0.67%,"1,033",40.5%
,105798,Washington State Charter School Commission,2017-18,General,Science,0.40%,493,41.3%
,105886,Spokane Public Schools Charter Authorizer,2017-18,General,English Language Arts,0.73%,545,58.7%
,105886,Spokane Public Schools Charter Authorizer,2017-18,General,Math,0.73%,544,40.6%
,105886,Spokane Public Schools Charter Authorizer,2017-18,General,Science,1.08%,184,55.9%
1,103300,Washington State,2017-18,General,English Language Arts,0.96%,"579,584",59.4%
1,103300,Washington State,2017-18,General,Math,0.95%,"579,832",49.4%
1,103300,Washington State,2017-18,General,Science,0.88%,"246,865",46.3%
1500,100509,Forks Alternative School,2017-18,General,English Language Arts,,1,
1500,100509,Forks Alternative School,2017-18,General,Math,,1,
1500,100509,Forks Alternative School,2017-18,General,Science,,8,
1502,101445,Two Rivers School,2017-18,General,English Language Arts,,28,64.2%
1502,101445,Two Rivers School,2017-18,General,Math,,28,32.1%
1502,101445,Two Rivers School,2017-18,General,Science,,32,68.7%
1506,103883,Quincy Innovation Academy,2017-18,General,English Language Arts,,9,
1506,103883,Quincy Innovation Academy,2017-18,General,Math,,8,
1506,103883,Quincy Innovation Academy,2017-18,General,Science,,23,13.0%
1508,103245,Computer Academy Toppenish High School,2017-18,General,English Language Arts,,32,9.3%
1508,103245,Computer Academy Toppenish High School,2017-18,General,Math,,30,
1508,103245,Computer Academy Toppenish High School,2017-18,General,Science,,55,1.8%
1510,102285,Challenger High School,2017-18,General,English Language Arts,,46,47.8%
1510,102285,Challenger High School,2017-18,General,Math,,45,11.1%
1510,102285,Challenger High School,2017-18,General,Science,,133,13.5%
1516,102248,Henderson Bay Alt High School,2017-18,General,English Language Arts,,22,36.3%
1516,102248,Henderson Bay Alt High School,2017-18,General,Math,,22,4.5%
1516,102248,Henderson Bay Alt High School,2017-18,General,Science,,39,30.7%
1518,100816,Smokiam Alternative High School,2017-18,General,English Language Arts,,5,
1518,100816,Smokiam Alternative High School,2017-18,General,Math,,5,
1518,100816,Smokiam Alternative High School,2017-18,General,Science,,2,
1519,102509,Edmonds eLearning Academy,2017-18,General,English Language Arts,,49,46.9%
1519,102509,Edmonds eLearning Academy,2017-18,General,Math,,49,20.4%
1519,102509,Edmonds eLearning Academy,2017-18,General,Science,,52,13.4%
1520,102510,Challenge Elementary,2017-18,General,English Language Arts,,265,97.3%
1520,102510,Challenge Elementary,2017-18,General,Math,,265,98.1%
1520,102510,Challenge Elementary,2017-18,General,Science,,76,96.0%
1523,101228,Special Ed School,2017-18,General,English Language Arts,,4,
1523,101228,Special Ed School,2017-18,General,Math,,4,
1523,101228,Special Ed School,2017-18,General,Science,,4,
1533,102672,A-3 Multiagency Adolescent Prog,2017-18,General,English Language Arts,,11,36.3%
1533,102672,A-3 Multiagency Adolescent Prog,2017-18,General,Math,,11,9.0%
1533,102672,A-3 Multiagency Adolescent Prog,2017-18,General,Science,,11,
1534,101317,Griffin Home,2017-18,General,English Language Arts,,3,
1534,101317,Griffin Home,2017-18,General,Math,,3,
1534,101317,Griffin Home,2017-18,General,Science,,3,
1537,102374,State Street High School,2017-18,General,English Language Arts,,55,27.2%
1537,102374,State Street High School,2017-18,General,Math,,53,5.6%
1537,102374,State Street High School,2017-18,General,Science,,69,15.9%
1539,101251,CHOICE Academy,2017-18,General,English Language Arts,,84,82.1%
1539,101251,CHOICE Academy,2017-18,General,Math,,84,60.7%
1539,101251,CHOICE Academy,2017-18,General,Science,,58,50.0%
1547,100973,Middle College High School,2017-18,General,English Language Arts,,13,38.4%
1547,100973,Middle College High School,2017-18,General,Math,,14,7.1%
1547,100973,Middle College High School,2017-18,General,Science,,19,26.3%
1558,102512,Unassigned School,2017-18,General,English Language Arts,,,
1558,102512,Unassigned School,2017-18,General,Math,,,
1558,102512,Unassigned School,2017-18,General,Science,,,
1559,101854,Lewis County Juvenile Detention,2017-18,General,English Language Arts,,2,
1559,101854,Lewis County Juvenile Detention,2017-18,General,Math,,2,
1559,101854,Lewis County Juvenile Detention,2017-18,General,Science,,3,
1567,102676,Eagle Peak at Pratt,2017-18,General,English Language Arts,,88,5.6%
1567,102676,Eagle Peak at Pratt,2017-18,General,Math,,87,2.2%
1567,102676,Eagle Peak at Pratt,2017-18,General,Science,,43,4.6%
1574,100517,Fir Grove Childrens Center,2017-18,General,English Language Arts,,39,5.1%
1574,100517,Fir Grove Childrens Center,2017-18,General,Math,,38,
1574,100517,Fir Grove Childrens Center,2017-18,General,Science,,17,5.8%
1579,100976,Tops K-8 School,2017-18,General,English Language Arts,,318,71.3%
1579,100976,Tops K-8 School,2017-18,General,Math,,318,62.5%
1579,100976,Tops K-8 School,2017-18,General,Science,,107,75.7%
1585,102079,Comm Based Trans Program,2017-18,General,Science,,,
1594,102882,Panorama School,2017-18,General,English Language Arts,,12,33.3%
1594,102882,Panorama School,2017-18,General,Math,,12,25.0%
1594,102882,Panorama School,2017-18,General,Science,,18,22.2%
1596,100989,Seattle World School,2017-18,General,English Language Arts,,65,6.1%
1596,100989,Seattle World School,2017-18,General,Math,,70,14.2%
1596,100989,Seattle World School,2017-18,General,Science,,32,15.6%
1603,102678,Daybreak Alternative School,2017-18,General,English Language Arts,,2,
1603,102678,Daybreak Alternative School,2017-18,General,Math,,2,
1603,102678,Daybreak Alternative School,2017-18,General,Science,,1,
1604,102679,Alternative Tamarack School,2017-18,General,English Language Arts,,3,
1604,102679,Alternative Tamarack School,2017-18,General,Math,,3,
1604,102679,Alternative Tamarack School,2017-18,General,Science,,3,
1605,102356,Twin Cedars High School,2017-18,General,English Language Arts,,3,
1605,102356,Twin Cedars High School,2017-18,General,Math,,3,
1605,102356,Twin Cedars High School,2017-18,General,Science,,1,
1612,100454,Skill Source,2017-18,General,English Language Arts,,5,
1612,100454,Skill Source,2017-18,General,Math,,7,
1613,100455,Westside High School,2017-18,General,English Language Arts,,42,38.0%
1613,100455,Westside High School,2017-18,General,Math,,40,12.5%
1613,100455,Westside High School,2017-18,General,Science,,85,7.0%
1617,100344,Educational Opportunity Center,2017-18,General,English Language Arts,,15,33.3%
1617,100344,Educational Opportunity Center,2017-18,General,Math,,15,
1617,100344,Educational Opportunity Center,2017-18,General,Science,,28,21.4%
1620,100990,Pathfinder K-8 School,2017-18,General,English Language Arts,4.53%,316,69.3%
1620,100990,Pathfinder K-8 School,2017-18,General,Math,4.53%,316,62.3%
1620,100990,Pathfinder K-8 School,2017-18,General,Science,3.51%,110,66.3%
1621,101963,Methow Valley Independent  L C,2017-18,General,English Language Arts,,7,
1621,101963,Methow Valley Independent  L C,2017-18,General,Math,,7,
1621,101963,Methow Valley Independent  L C,2017-18,General,Science,,4,
1624,101458,Issaquah Special Services,2017-18,General,English Language Arts,,15,13.3%
1624,101458,Issaquah Special Services,2017-18,General,Math,,15,
1624,101458,Issaquah Special Services,2017-18,General,Science,,5,
1627,102913,Yelm Extension School,2017-18,General,English Language Arts,,17,35.2%
1627,102913,Yelm Extension School,2017-18,General,Math,,17,
1627,102913,Yelm Extension School,2017-18,General,Science,,36,5.5%
1628,102840,Dishman Hills High School,2017-18,General,English Language Arts,,78,29.4%
1628,102840,Dishman Hills High School,2017-18,General,Math,,78,
1628,102840,Dishman Hills High School,2017-18,General,Science,,106,15.0%
1629,100892,East Grays Harbor High School,2017-18,General,English Language Arts,,4,
1629,100892,East Grays Harbor High School,2017-18,General,Math,,4,
1629,100892,East Grays Harbor High School,2017-18,General,Science,,4,
1635,100996,Interagency Programs,2017-18,General,English Language Arts,,85,9.4%
1635,100996,Interagency Programs,2017-18,General,Math,,87,2.2%
1635,100996,Interagency Programs,2017-18,General,Science,,100,6.0%
1640,102035,Puyallup Online Academy/POA,2017-18,General,English Language Arts,,88,44.3%
1640,102035,Puyallup Online Academy/POA,2017-18,General,Math,,88,10.2%
1640,102035,Puyallup Online Academy/POA,2017-18,General,Science,,73,15.0%
1643,102599,Out Of District Special Ed,2017-18,General,English Language Arts,,7,
1643,102599,Out Of District Special Ed,2017-18,General,Math,,7,
1643,102599,Out Of District Special Ed,2017-18,General,Science,,2,
1646,100587,49th Street Academy,2017-18,General,English Language Arts,18.52%,22,
1646,100587,49th Street Academy,2017-18,General,Math,17.86%,23,
1646,100587,49th Street Academy,2017-18,General,Science,33.33%,8,
1647,103042,Options High School,2017-18,General,English Language Arts,,51,25.4%
1647,103042,Options High School,2017-18,General,Math,,51,3.9%
1647,103042,Options High School,2017-18,General,Science,,44,20.4%
1648,101319,Out Of District Facility,2017-18,General,English Language Arts,,8,
1648,101319,Out Of District Facility,2017-18,General,Math,,8,
1648,101319,Out Of District Facility,2017-18,General,Science,,6,
1649,101513,Contractual Schools,2017-18,General,English Language Arts,,19,26.3%
1649,101513,Contractual Schools,2017-18,General,Math,,19,15.7%
1649,101513,Contractual Schools,2017-18,General,Science,,14,7.1%
1656,102573,10th Street School,2017-18,General,English Language Arts,,173,62.4%
1656,102573,10th Street School,2017-18,General,Math,,173,55.4%
1656,102573,10th Street School,2017-18,General,Science,,58,63.7%
1657,102574,Heritage School,2017-18,General,English Language Arts,,14,7.1%
1657,102574,Heritage School,2017-18,General,Math,,14,
1657,102574,Heritage School,2017-18,General,Science,,33,
1658,101514,Discovery Community  School,2017-18,General,English Language Arts,,36,91.6%
1658,101514,Discovery Community  School,2017-18,General,Math,,36,94.4%
1658,101514,Discovery Community  School,2017-18,General,Science,,11,
1663,102429,NW Learning Center,2017-18,General,English Language Arts,,1,
1663,102429,NW Learning Center,2017-18,General,Math,,1,
1663,102429,NW Learning Center,2017-18,General,Science,,1,
1667,101483,Handicapped Contractual Services,2017-18,General,English Language Arts,,33,6.0%
1667,101483,Handicapped Contractual Services,2017-18,General,Math,,33,3.0%
1667,101483,Handicapped Contractual Services,2017-18,General,Science,,19,
1671,100510,District Run Home School,2017-18,General,English Language Arts,,13,30.7%
1671,100510,District Run Home School,2017-18,General,Math,,13,23.0%
1671,100510,District Run Home School,2017-18,General,Science,,2,
1677,101700,Special Programs,2017-18,General,English Language Arts,,2,
1677,101700,Special Programs,2017-18,General,Math,,2,
1677,101700,Special Programs,2017-18,General,Science,,1,
1680,101927,James A. Taylor High School,2017-18,General,English Language Arts,,6,
1680,101927,James A. Taylor High School,2017-18,General,Math,,6,
1680,101927,James A. Taylor High School,2017-18,General,Science,,9,
1682,100936,South Whidbey Academy,2017-18,General,English Language Arts,,11,45.4%
1682,100936,South Whidbey Academy,2017-18,General,Math,,11,
1682,100936,South Whidbey Academy,2017-18,General,Science,,9,
1683,100937,South Whidbey Special Services,2017-18,General,English Language Arts,,1,
1683,100937,South Whidbey Special Services,2017-18,General,Math,,1,
1685,102514,Maplewood Parent Coop,2017-18,General,English Language Arts,3.27%,325,80.6%
1685,102514,Maplewood Parent Coop,2017-18,General,Math,3.27%,325,81.2%
1685,102514,Maplewood Parent Coop,2017-18,General,Science,2.59%,113,78.7%
1687,101516,Explorer Community School,2017-18,General,English Language Arts,,41,95.1%
1687,101516,Explorer Community School,2017-18,General,Math,,41,95.1%
1687,101516,Explorer Community School,2017-18,General,Science,,15,86.6%
1688,101517,Emerson K-12,2017-18,General,English Language Arts,,35,80.0%
1688,101517,Emerson K-12,2017-18,General,Math,,35,51.4%
1688,101517,Emerson K-12,2017-18,General,Science,,18,55.5%
1689,100518,Vancouver School of Arts and Academics,2017-18,General,English Language Arts,,352,91.1%
1689,100518,Vancouver School of Arts and Academics,2017-18,General,Math,,352,61.0%
1689,100518,Vancouver School of Arts and Academics,2017-18,General,Science,,162,77.1%
1699,101685,Odyssey Multiage Program,2017-18,General,English Language Arts,,91,83.5%
1699,101685,Odyssey Multiage Program,2017-18,General,Math,,91,71.4%
1699,101685,Odyssey Multiage Program,2017-18,General,Science,,36,75.0%
1706,101518,International Community School,2017-18,General,English Language Arts,,269,96.2%
1706,101518,International Community School,2017-18,General,Math,,269,92.5%
1706,101518,International Community School,2017-18,General,Science,,108,90.7%
1707,102661,Lincoln Hill High School,2017-18,General,English Language Arts,,38,60.5%
1707,102661,Lincoln Hill High School,2017-18,General,Math,,39,5.1%
1707,102661,Lincoln Hill High School,2017-18,General,Science,,38,31.5%
1708,100494,Sequim Community School,2017-18,General,English Language Arts,,64,64.0%
1708,100494,Sequim Community School,2017-18,General,Math,,64,51.5%
1708,100494,Sequim Community School,2017-18,General,Science,,21,71.4%
1709,102870,Chewelah Alternative,2017-18,General,English Language Arts,,9,
1709,102870,Chewelah Alternative,2017-18,General,Math,,9,
1709,102870,Chewelah Alternative,2017-18,General,Science,,4,
1712,102821,Continuous Curriculum School,2017-18,General,English Language Arts,,344,69.7%
1712,102821,Continuous Curriculum School,2017-18,General,Math,,344,67.1%
1712,102821,Continuous Curriculum School,2017-18,General,Science,,104,69.2%
1713,102945,Secondary Options,2017-18,General,English Language Arts,,5,
1713,102945,Secondary Options,2017-18,General,Math,,5,
1713,102945,Secondary Options,2017-18,General,Science,,33,24.2%
1714,102560,Stillaguamish Valley Learning Center,2017-18,General,English Language Arts,,55,50.9%
1714,102560,Stillaguamish Valley Learning Center,2017-18,General,Math,,57,19.2%
1714,102560,Stillaguamish Valley Learning Center,2017-18,General,Science,,21,33.3%
1715,100473,Parents As Partners,2017-18,General,English Language Arts,,8,
1715,100473,Parents As Partners,2017-18,General,Math,,8,
1715,100473,Parents As Partners,2017-18,General,Science,,4,
1718,101741,Explorer Academy,2017-18,General,English Language Arts,,91,48.3%
1718,101741,Explorer Academy,2017-18,General,Math,,92,27.1%
1718,101741,Explorer Academy,2017-18,General,Science,,53,41.5%
1724,100952,PI Program,2017-18,General,English Language Arts,,37,59.4%
1724,100952,PI Program,2017-18,General,Math,,37,37.8%
1724,100952,PI Program,2017-18,General,Science,,19,68.4%
1730,102619,Snohomish Center,2017-18,General,English Language Arts,,13,
1730,102619,Snohomish Center,2017-18,General,Math,,13,
1730,102619,Snohomish Center,2017-18,General,Science,,4,
1733,101701,Pal Program,2017-18,General,English Language Arts,,20,85.0%
1733,101701,Pal Program,2017-18,General,Math,,20,25.0%
1733,101701,Pal Program,2017-18,General,Science,,18,50.0%
1735,102991,H.e.a.r.t. High School,2017-18,General,English Language Arts,,4,
1735,102991,H.e.a.r.t. High School,2017-18,General,Math,,4,
1735,102991,H.e.a.r.t. High School,2017-18,General,Science,,12,
1737,101663,Renaissance Alternative High School,2017-18,General,English Language Arts,,35,37.1%
1737,101663,Renaissance Alternative High School,2017-18,General,Math,,32,
1737,101663,Renaissance Alternative High School,2017-18,General,Science,,42,38.0%
1742,100456,Valley Academy Of Learning,2017-18,General,English Language Arts,,111,68.4%
1742,100456,Valley Academy Of Learning,2017-18,General,Math,,111,45.9%
1742,100456,Valley Academy Of Learning,2017-18,General,Science,,30,80.0%
1744,102577,School Home Partnership Program,2017-18,General,English Language Arts,,26,19.2%
1744,102577,School Home Partnership Program,2017-18,General,Math,,26,7.6%
1744,102577,School Home Partnership Program,2017-18,General,Science,,15,13.3%
1749,101664,Bremerton Homelink Program,2017-18,General,English Language Arts,,23,52.1%
1749,101664,Bremerton Homelink Program,2017-18,General,Math,,22,27.2%
1749,101664,Bremerton Homelink Program,2017-18,General,Science,,8,
1751,101004,Cascade Parent Partnership Program,2017-18,General,English Language Arts,,95,25.2%
1751,101004,Cascade Parent Partnership Program,2017-18,General,Math,,95,23.1%
1751,101004,Cascade Parent Partnership Program,2017-18,General,Science,,27,7.4%
1753,102471,Homelink,2017-18,General,English Language Arts,,9,
1753,102471,Homelink,2017-18,General,Math,,9,
1753,102471,Homelink,2017-18,General,Science,,3,
1754,100777,Palouse Junction High School,2017-18,General,English Language Arts,,2,
1754,100777,Palouse Junction High School,2017-18,General,Math,,2,
1754,100777,Palouse Junction High School,2017-18,General,Science,,8,
1755,102841,West Valley City School,2017-18,General,English Language Arts,,209,56.9%
1755,102841,West Valley City School,2017-18,General,Math,,209,31.1%
1755,102841,West Valley City School,2017-18,General,Science,,89,55.0%
1756,101403,CLIP,2017-18,General,English Language Arts,,,
1756,101403,CLIP,2017-18,General,Math,,,
1756,101403,CLIP,2017-18,General,Science,,15,6.6%
1758,100918,Homeconnection,2017-18,General,English Language Arts,,85,36.0%
1758,100918,Homeconnection,2017-18,General,Math,,85,23.2%
1758,100918,Homeconnection,2017-18,General,Science,,35,14.2%
1759,101183,Internet Academy,2017-18,General,English Language Arts,,164,33.5%
1759,101183,Internet Academy,2017-18,General,Math,,163,12.2%
1759,101183,Internet Academy,2017-18,General,Science,,116,17.2%
1763,102871,Chewelah Alternative Educational Programs,2017-18,General,English Language Arts,,42,57.1%
1763,102871,Chewelah Alternative Educational Programs,2017-18,General,Math,,42,26.1%
1763,102871,Chewelah Alternative Educational Programs,2017-18,General,Science,,18,27.7%
1767,102684,The Healing Lodge,2017-18,General,English Language Arts,,4,
1767,102684,The Healing Lodge,2017-18,General,Math,,4,
1767,102684,The Healing Lodge,2017-18,General,Science,,2,
1768,102960,Avanti High School,2017-18,General,English Language Arts,,28,85.7%
1768,102960,Avanti High School,2017-18,General,Math,,28,50.0%
1768,102960,Avanti High School,2017-18,General,Science,,41,41.4%
1769,102810,Three Springs High School,2017-18,General,English Language Arts,,6,
1769,102810,Three Springs High School,2017-18,General,Math,,6,
1769,102810,Three Springs High School,2017-18,General,Science,,13,7.6%
1771,101484,Home Education Exchange,2017-18,General,English Language Arts,,79,60.7%
1771,101484,Home Education Exchange,2017-18,General,Math,,79,39.2%
1771,101484,Home Education Exchange,2017-18,General,Science,,25,36.0%
1776,103229,Contract Learning Center,2017-18,General,English Language Arts,,3,
1776,103229,Contract Learning Center,2017-18,General,Math,,2,
1776,103229,Contract Learning Center,2017-18,General,Science,,8,
1777,102600,Sky Valley Education Center,2017-18,General,English Language Arts,,459,40.5%
1777,102600,Sky Valley Education Center,2017-18,General,Math,,457,25.8%
1777,102600,Sky Valley Education Center,2017-18,General,Science,,216,25.9%
1784,101322,H.O.M.E. Program,2017-18,General,English Language Arts,,80,37.5%
1784,101322,H.O.M.E. Program,2017-18,General,Math,,80,25.0%
1784,101322,H.O.M.E. Program,2017-18,General,Science,,38,36.8%
1789,101185,Federal Way Public Academy,2017-18,General,English Language Arts,,245,80.4%
1789,101185,Federal Way Public Academy,2017-18,General,Math,,245,64.0%
1789,101185,Federal Way Public Academy,2017-18,General,Science,,63,68.2%
1795,100695,Woodland Alternative School,2017-18,General,English Language Arts,,17,23.5%
1795,100695,Woodland Alternative School,2017-18,General,Math,,17,5.8%
1795,100695,Woodland Alternative School,2017-18,General,Science,,30,10.0%
1796,101006,Salmon Bay K-8 School,2017-18,General,English Language Arts,,503,74.3%
1796,101006,Salmon Bay K-8 School,2017-18,General,Math,,503,64.0%
1796,101006,Salmon Bay K-8 School,2017-18,General,Science,,167,74.2%
1797,102088,Day Reporting School,2017-18,General,English Language Arts,,8,
1797,102088,Day Reporting School,2017-18,General,Math,,9,
1797,102088,Day Reporting School,2017-18,General,Science,,11,
1798,100961,OCEAN,2017-18,General,English Language Arts,,42,61.9%
1798,100961,OCEAN,2017-18,General,Math,,42,33.3%
1798,100961,OCEAN,2017-18,General,Science,,19,63.1%
1799,103049,Visions (Seamar Youth Center),2017-18,General,English Language Arts,,10,20.0%
1799,103049,Visions (Seamar Youth Center),2017-18,General,Math,,10,
1799,103049,Visions (Seamar Youth Center),2017-18,General,Science,,10,10.0%
1800,101519,Environmental & Adventure School,2017-18,General,English Language Arts,,138,86.9%
1800,101519,Environmental & Adventure School,2017-18,General,Math,,138,79.7%
1800,101519,Environmental & Adventure School,2017-18,General,Science,,44,86.3%
1802,100458,Chelan County Juvenile Detention Center,2017-18,General,English Language Arts,,2,
1802,100458,Chelan County Juvenile Detention Center,2017-18,General,Math,,2,
1802,100458,Chelan County Juvenile Detention Center,2017-18,General,Science,,,
1803,102768,Mead Alternative High School,2017-18,General,English Language Arts,,30,50.0%
1803,102768,Mead Alternative High School,2017-18,General,Math,,30,3.3%
1803,102768,Mead Alternative High School,2017-18,General,Science,,27,11.1%
1804,101520,Futures School,2017-18,General,Science,,25,12.0%
1806,102602,Leaders In Learning,2017-18,General,English Language Arts,,11,45.4%
1806,102602,Leaders In Learning,2017-18,General,Math,,11,
1806,102602,Leaders In Learning,2017-18,General,Science,,20,5.0%
1807,101569,Regional Justice Center,2017-18,General,Science,,,
1814,101623,Northshore Networks,2017-18,General,English Language Arts,,47,57.4%
1814,101623,Northshore Networks,2017-18,General,Math,,47,23.4%
1814,101623,Northshore Networks,2017-18,General,Science,,56,32.1%
1815,101624,Northshore Special Services,2017-18,General,English Language Arts,,11,9.0%
1815,101624,Northshore Special Services,2017-18,General,Math,,11,9.0%
1815,101624,Northshore Special Services,2017-18,General,Science,,7,
1822,101307,Family Link,2017-18,General,English Language Arts,,33,45.4%
1822,101307,Family Link,2017-18,General,Math,,33,27.2%
1822,101307,Family Link,2017-18,General,Science,,14,42.8%
1829,101837,Winolequa Learning Academy,2017-18,General,English Language Arts,,5,
1829,101837,Winolequa Learning Academy,2017-18,General,Math,,5,
1829,101837,Winolequa Learning Academy,2017-18,General,Science,,10,
1830,102516,Contracted Schools,2017-18,General,English Language Arts,,11,9.0%
1830,102516,Contracted Schools,2017-18,General,Math,,11,9.0%
1830,102516,Contracted Schools,2017-18,General,Science,,8,
1835,100793,Sentinel Tech Alt School,2017-18,General,English Language Arts,,7,
1835,100793,Sentinel Tech Alt School,2017-18,General,Math,,8,
1835,100793,Sentinel Tech Alt School,2017-18,General,Science,,7,
1836,100632,CAM Academy,2017-18,General,English Language Arts,,368,87.7%
1836,100632,CAM Academy,2017-18,General,Math,,368,82.6%
1836,100632,CAM Academy,2017-18,General,Science,,160,85.6%
1838,102843,Spokane Valley High School,2017-18,General,English Language Arts,,30,76.6%
1838,102843,Spokane Valley High School,2017-18,General,Math,,30,40.0%
1838,102843,Spokane Valley High School,2017-18,General,Science,,25,32.0%
1841,101689,Mosaic Home Education Partnership,2017-18,General,English Language Arts,,30,3.3%
1841,101689,Mosaic Home Education Partnership,2017-18,General,Math,,30,10.0%
1841,101689,Mosaic Home Education Partnership,2017-18,General,Science,,6,
1842,102844,Spokane Valley Transition School,2017-18,General,English Language Arts,,31,22.5%
1842,102844,Spokane Valley Transition School,2017-18,General,Math,,31,6.4%
1842,102844,Spokane Valley Transition School,2017-18,General,Science,,48,16.6%
1845,101964,Alternative Educational Experience,2017-18,General,English Language Arts,,6,
1845,101964,Alternative Educational Experience,2017-18,General,Math,,6,
1845,101964,Alternative Educational Experience,2017-18,General,Science,,2,
1848,102486,Special Services,2017-18,General,English Language Arts,,15,
1848,102486,Special Services,2017-18,General,Math,,16,
1848,102486,Special Services,2017-18,General,Science,,7,
1851,102876,Wellpinit Alliance High School,2017-18,General,English Language Arts,,1,
1851,102876,Wellpinit Alliance High School,2017-18,General,Math,,1,
1851,102876,Wellpinit Alliance High School,2017-18,General,Science,,3,
1852,102855,Deer Park Home Link Program,2017-18,General,English Language Arts,,288,38.8%
1852,102855,Deer Park Home Link Program,2017-18,General,Math,,288,16.6%
1852,102855,Deer Park Home Link Program,2017-18,General,Science,,137,21.8%
1854,101404,PARADE,2017-18,General,English Language Arts,,77,74.0%
1854,101404,PARADE,2017-18,General,Math,,77,49.3%
1854,101404,PARADE,2017-18,General,Science,,30,70.0%
1856,101013,The Center School,2017-18,General,English Language Arts,,58,86.2%
1856,101013,The Center School,2017-18,General,Math,,58,48.2%
1856,101013,The Center School,2017-18,General,Science,,50,50.0%
1857,102901,Springdale Academy,2017-18,General,English Language Arts,,3,
1857,102901,Springdale Academy,2017-18,General,Math,,3,
1857,102901,Springdale Academy,2017-18,General,Science,,2,
1858,102769,Mead Education Partnership Prog,2017-18,General,English Language Arts,,236,66.5%
1858,102769,Mead Education Partnership Prog,2017-18,General,Math,,236,35.5%
1858,102769,Mead Education Partnership Prog,2017-18,General,Science,,130,30.0%
1860,102093,Tacoma School of the Arts,2017-18,General,English Language Arts,,133,72.9%
1860,102093,Tacoma School of the Arts,2017-18,General,Math,,133,12.0%
1860,102093,Tacoma School of the Arts,2017-18,General,Science,,132,31.8%
1861,101928,North Mason Homelink Program,2017-18,General,English Language Arts,,2,
1861,101928,North Mason Homelink Program,2017-18,General,Math,,2,
1861,101928,North Mason Homelink Program,2017-18,General,Science,,4,
1862,102578,Marysville Coop Program,2017-18,General,English Language Arts,,121,74.3%
1862,102578,Marysville Coop Program,2017-18,General,Math,,121,66.9%
1862,102578,Marysville Coop Program,2017-18,General,Science,,37,64.8%
