Organization,Number
Aberdeen School District,211
Aberdeen School District - A J West Elementary,30
Aberdeen School District - Central Park Elementary,14
Aberdeen School District - Grays Harbor Juvenile Detention,2
Aberdeen School District - Harbor High School,9
Aberdeen School District - Hopkins Elementary,1
Aberdeen School District - J M Weatherwax High School,60
Aberdeen School District - McDermoth Elementary,26
Aberdeen School District - Miller Junior High,33
Aberdeen School District - Robert Gray Elementary,26
Aberdeen School District - Stevens Elementary School,32
"Aberdeen School District - Twin Harbors, A Branch of New Market Skills Center",5
Adna School District,37
Adna School District - Adna Elementary School,17
Adna School District - Adna Middle/High School,21
Almira School District,12
Almira School District - Almira Elementary School,12
Anacortes School District,158
Anacortes School District - Anacortes High School,43
Anacortes School District - Anacortes Middle School,39
Anacortes School District - Cap Sante High School,2
Anacortes School District - Fidalgo Elementary,23
Anacortes School District - Island View Elementary,28
Anacortes School District - Mount Erie Elementary,25
Anacortes School District - Whitney Elementary,7
Arlington School District,304
Arlington School District - Arlington High School,79
Arlington School District - Arlington Open Doors,1
Arlington School District - Eagle Creek Elementary,40
Arlington School District - Haller Middle School,33
Arlington School District - Kent Prairie Elementary,38
Arlington School District - Pioneer Elementary,35
Arlington School District - Post Middle School,34
Arlington School District - Presidents Elementary,35
Arlington School District - Stillaguamish Valley Learning Center,4
Arlington School District - Weston High School,15
Asotin-Anatone School District,40
Asotin-Anatone School District - Asotin Elementary,30
Asotin-Anatone School District - Asotin Jr Sr High,26
Auburn School District,988
Auburn School District - Alpac Elementary School,43
Auburn School District - Arthur Jacobsen Elementary,38
Auburn School District - Auburn Mountainview High School,86
Auburn School District - Auburn Riverside High School,84
Auburn School District - Auburn Senior High School,102
Auburn School District - Cascade Middle School,45
Auburn School District - Chinook Elementary School,37
Auburn School District - Dick Scobee Elementary School,37
Auburn School District - Evergreen Heights Elementary,35
Auburn School District - Gildo Rey Elementary School,43
Auburn School District - Hazelwood Elementary School,38
Auburn School District - Ilalko Elementary School,39
Auburn School District - Lake View Elementary School,29
Auburn School District - Lakeland Hills Elementary,46
Auburn School District - Lea Hill Elementary School,29
Auburn School District - Mt Baker Middle School,54
Auburn School District - Olympic Middle School,52
Auburn School District - Pioneer Elementary School,34
Auburn School District - Rainier Middle School,49
Auburn School District - Special Ed School,3
Auburn School District - Terminal Park Elementary School,34
Auburn School District - Washington Elementary School,36
Auburn School District - West Auburn Senior High School,27
Bainbridge Island School District,225
Bainbridge Island School District - Bainbridge High School,71
Bainbridge Island School District - Capt Johnston Blakely Elem Sch,24
Bainbridge Island School District - Capt. Charles Wilkes Elem School,27
Bainbridge Island School District - Eagle Harbor High School,10
Bainbridge Island School District - Mosaic Home Education Partnership,6
Bainbridge Island School District - Odyssey Multiage Program,13
Bainbridge Island School District - Ordway Elementary,26
Bainbridge Island School District - Sonoji Sakai Intermediate,32
Bainbridge Island School District - Woodward Middle School,35
Battle Ground School District,807
Battle Ground School District - Amboy Middle School,37
Battle Ground School District - Battle Ground High School,111
Battle Ground School District - CAM Academy,21
Battle Ground School District - Captain Strong,47
Battle Ground School District - Chief Umtuch Middle,37
Battle Ground School District - Daybreak Middle,35
Battle Ground School District - Daybreak Primary,37
Battle Ground School District - Glenwood Heights Primary,49
Battle Ground School District - Homelink River,68
Battle Ground School District - Laurin Middle School,45
Battle Ground School District - Maple Grove K-8,40
Battle Ground School District - Pleasant Valley Middle,35
Battle Ground School District - Pleasant Valley Primary,40
Battle Ground School District - Prairie High School,84
Battle Ground School District - Preschool Infant Other,1
Battle Ground School District - Summit View High School,11
Battle Ground School District - Tukes Valley Middle School,35
Battle Ground School District - Tukes Valley Primary,43
Battle Ground School District - Yacolt Primary,47
Bellevue School District,"1,161"
Bellevue School District - Ardmore Elementary School,30
Bellevue School District - Bellevue Big Picture School,30
Bellevue School District - Bellevue High School,81
Bellevue School District - Bennett Elementary School,33
