Number,Organization,TeacherCategory,Percentage
1,Adna School District,Other School Leaders,0.5
1,Almira School District,Other School Leaders,1
1,Anacortes School District,Principals,0.1
1,Asotin-Anatone School District,Other School Leaders,0.333333333
1,Auburn School District,Principals,0.022222222
1,Boistfort School District,Principals,1
1,Boistfort School District,Other School Leaders,1
1,Bremerton School District,Principals,0.0625
1,Brewster School District,Principals,0.25
1,Brinnon School District,Other School Leaders,0.5
1,Burlington-Edison School District,Principals,0.1
1,Camas School District,Principals,0.047619048
1,Castle Rock School District,Principals,0.2
1,Chewelah School District,Principals,0.333333333
1,Chimacum School District,Principals,0.25
1,Clarkston School District,Principals,0.111111111
1,Colfax School District,Principals,0.333333333
1,Columbia (Stevens) School District,Principals,0.5
1,Coulee-Hartline School District,Other School Leaders,0.333333333
1,Coupeville School District,Principals,0.333333333
1,Crescent School District,Principals,0.5
1,Cusick School District,Other School Leaders,0.25
1,Davenport School District,Principals,0.5
1,Dayton School District,Principals,0.5
1,Deer Park School District,Principals,0.142857143
1,East Valley School District (Yakima),Principals,0.090909091
1,Easton School District,Other School Leaders,0.5
1,Eatonville School District,Principals,0.142857143
1,Entiat School District,Principals,1
1,Ephrata School District,Principals,0.125
1,Everett School District,Principals,0.017857143
1,Franklin Pierce School District,Principals,0.043478261
1,Glenwood School District,Principals,1
1,Grandview School District,Principals,0.076923077
1,Granite Falls School District,Principals,0.166666667
1,Green Dot Destiny,Principals,0.333333333
1,Highland School District,Principals,0.25
1,Hood Canal School District,Principals,1
1,Index Elementary School District 63,Other School Leaders,0.5
1,Issaquah School District,Principals,0.023255814
1,Kahlotus School District,Other School Leaders,0.5
1,Kittitas School District,Principals,0.5
1,La Conner School District,Principals,0.5
1,LaCrosse School District,Other School Leaders,0.5
1,Lake Chelan School District,Principals,0.2
1,Lake Stevens School District,Principals,0.047619048
1,Lopez School District,Principals,0.5
1,Lummi Tribal Agency,Principals,0.333333333
1,Lyle School District,Principals,1
1,Mansfield School District,Other School Leaders,1
1,Mary M Knight School District,Principals,1
1,Mary M Knight School District,Other School Leaders,0.333333333
1,Mary Walker School District,Other School Leaders,0.25
1,Marysville School District,Principals,0.03125
1,Methow Valley School District,Other School Leaders,0.25
1,Monroe School District,Principals,0.058823529
1,Moses Lake School District,Principals,0.04
1,Mount Baker School District,Principals,0.166666667
1,Nespelem School District #14,Other School Leaders,0.333333333
1,North Beach School District No. 64,Principals,0.25
1,North Kitsap School District,Principals,0.058823529
1,North River School District,Other School Leaders,0.5
1,Northshore School District,Principals,0.018181818
1,Ocean Beach School District,Principals,0.2
1,Ocosta School District,Principals,0.5
1,Odessa School District,Other School Leaders,1
1,Orcas Island School District,Principals,0.333333333
1,Orient School District,Other School Leaders,1
1,Oroville School District,Principals,0.5
1,Orting School District,Principals,0.125
1,Palouse School District,Other School Leaders,0.5
1,Prosser School District,Principals,0.111111111
1,Pullman School District,Principals,0.111111111
1,Quilcene School District,Principals,0.5
1,Raymond School District,Principals,0.5
1,Republic School District,Other School Leaders,0.333333333
1,Richland School District,Principals,0.025
1,Ritzville School District,Principals,0.5
1,Riverview School District,Principals,0.111111111
1,Rosalia School District,Other School Leaders,0.5
1,Royal School District,Principals,0.166666667
1,Sedro-Woolley School District,Principals,0.066666667
1,Selkirk School District,Other School Leaders,0.25
1,Snoqualmie Valley School District,Principals,0.052631579
1,South Whidbey School District,Principals,0.25
1,Sprague School District,Other School Leaders,1
1,Sultan School District,Principals,0.142857143
1,Summit Public School: Sierra,Principals,1
1,Suquamish Tribal Education Department,Other School Leaders,1
1,Tekoa School District,Other School Leaders,0.5
1,Toledo School District,Principals,0.333333333
1,Toppenish School District,Principals,0.076923077
1,Touchet School District,Other School Leaders,0.333333333
1,Tumwater School District,Principals,0.047619048
1,Union Gap School District,Principals,1
1,Wahkiakum School District,Other School Leaders,1
1,Warden School District,Principals,0.25
1,Waterville School District,Principals,0.5
1,Wellpinit School District,Other School Leaders,0.5
1,Willapa Valley School District,Other School Leaders,0.5
1,Wishram School District,Principals,1
1,Woodland School District,Principals,0.166666667
1,Zillah School District,Principals,0.166666667
2,Arlington School District,Principals,0.111111111
2,Bethel School District,Principals,0.037735849
2,Cascade School District,Principals,0.4
2,Cheney School District,Principals,0.125
2,Clover Park School District,Principals,0.054054054
2,Colton School District,Other School Leaders,0.666666667
2,Columbia (Stevens) School District,Other School Leaders,1
2,Curlew School District,Other School Leaders,0.666666667
2,Davenport School District,Other School Leaders,0.5
2,Dieringer School District,Other School Leaders,0.4
2,Endicott School District,Other School Leaders,0.666666667
2,Excel Public Charter School,Principals,1
2,Glenwood School District,Other School Leaders,1
2,Harrington School District,Other School Leaders,0.666666667
2,Kalama School District,Other School Leaders,0.666666667
2,Kettle Falls School District,Other School Leaders,0.4
2,La Center School District,Principals,0.4
2,La Center School District,Other School Leaders,0.285714286
2,Lakewood School District,Principals,0.285714286
2,Lopez School District,Other School Leaders,0.5
2,Lyle School District,Other School Leaders,1
2,Mabton School District,Principals,0.5
2,Mercer Island School District,Principals,0.153846154
2,Mount Pleasant School District,Other School Leaders,1
2,Napavine School District,Other School Leaders,0.5
2,North Mason School District,Principals,0.222222222
2,Oakville School District,Principals,1
2,Orcas Island School District,Other School Leaders,1
2,Othello School District,Principals,0.125
2,Prescott School District,Other School Leaders,1
2,Quileute Tribal School District,Other School Leaders,0.5
2,Reardan-Edwall School District,Other School Leaders,0.5
2,Ridgefield School District,Principals,0.285714286
2,Ritzville School District,Other School Leaders,1
2,Spokane International Academy,Principals,1
2,Spokane International Academy,Other School Leaders,1
2,Spokane School District,Principals,0.027777778
2,St. John School District,Other School Leaders,0.666666667
2,Steilacoom Hist. School District,Principals,0.181818182
2,Stevenson-Carson School District,Principals,0.5
2,Tenino School District,Principals,0.333333333
2,Tonasket School District,Principals,0.5
2,Toutle Lake School District,Other School Leaders,0.666666667
