Organization,Sum of Number,Percentage
Aberdeen School District,128,0.606635071
Aberdeen School District - A J West Elementary,23,0.766666667
Aberdeen School District - Central Park Elementary,11,0.785714286
Aberdeen School District - Grays Harbor Juvenile Detention,2,1
Aberdeen School District - Harbor High School,5,0.555555556
Aberdeen School District - Hopkins Elementary,1,1
Aberdeen School District - J M Weatherwax High School,32,0.533333333
Aberdeen School District - McDermoth Elementary,10,0.384615385
Aberdeen School District - Miller Junior High,20,0.606060606
Aberdeen School District - Robert Gray Elementary,17,0.653846154
Aberdeen School District - Stevens Elementary School,17,0.53125
"Aberdeen School District - Twin Harbors, A Branch of New Market Skills Center",1,0.2
Adna School District,27,0.729729730
Adna School District - Adna Elementary School,10,0.588235294
Adna School District - Adna Middle/High School,17,0.809523810
Almira School District,10,0.833333333
Almira School District - Almira Elementary School,10,0.833333333
Anacortes School District,113,0.715189873
Anacortes School District - Anacortes High School,26,0.604651163
Anacortes School District - Anacortes Middle School,32,0.820512821
Anacortes School District - Cap Sante High School,2,1
Anacortes School District - Fidalgo Elementary,14,0.608695652
Anacortes School District - Island View Elementary,19,0.678571429
Anacortes School District - Mount Erie Elementary,20,0.8
Anacortes School District - Whitney Elementary,5,0.714285714
Arlington School District,205,0.674342105
Arlington School District - Arlington High School,62,0.784810127
Arlington School District - Arlington Open Doors,1,1
Arlington School District - Eagle Creek Elementary,26,0.65
Arlington School District - Haller Middle School,26,0.787878788
Arlington School District - Kent Prairie Elementary,22,0.578947368
Arlington School District - Pioneer Elementary,21,0.6
Arlington School District - Post Middle School,23,0.676470588
Arlington School District - Presidents Elementary,19,0.542857143
Arlington School District - Stillaguamish Valley Learning Center,1,0.25
Arlington School District - Weston High School,11,0.733333333
Asotin-Anatone School District,23,0.575
Asotin-Anatone School District - Asotin Elementary,15,0.5
Asotin-Anatone School District - Asotin Jr Sr High,16,0.615384615
Auburn School District,612,0.619433198
Auburn School District - Alpac Elementary School,26,0.604651163
Auburn School District - Arthur Jacobsen Elementary,30,0.789473684
Auburn School District - Auburn Mountainview High School,50,0.581395349
Auburn School District - Auburn Riverside High School,59,0.702380952
Auburn School District - Auburn Senior High School,60,0.588235294
Auburn School District - Cascade Middle School,26,0.577777778
Auburn School District - Chinook Elementary School,25,0.675675676
Auburn School District - Dick Scobee Elementary School,26,0.702702703
Auburn School District - Evergreen Heights Elementary,18,0.514285714
Auburn School District - Gildo Rey Elementary School,24,0.558139535
Auburn School District - Hazelwood Elementary School,23,0.605263158
Auburn School District - Ilalko Elementary School,29,0.743589744
Auburn School District - Lake View Elementary School,24,0.827586207
Auburn School District - Lakeland Hills Elementary,35,0.760869565
Auburn School District - Lea Hill Elementary School,13,0.448275862
Auburn School District - Mt Baker Middle School,41,0.759259259
Auburn School District - Olympic Middle School,29,0.557692308
Auburn School District - Pioneer Elementary School,12,0.352941176
Auburn School District - Rainier Middle School,26,0.530612245
Auburn School District - Special Ed School,3,1
Auburn School District - Terminal Park Elementary School,19,0.558823529
Auburn School District - Washington Elementary School,26,0.722222222
Auburn School District - West Auburn Senior High School,14,0.518518519
Bainbridge Island School District,169,0.751111111
Bainbridge Island School District - Bainbridge High School,53,0.746478873
Bainbridge Island School District - Capt Johnston Blakely Elem Sch,18,0.75
Bainbridge Island School District - Capt. Charles Wilkes Elem School,18,0.666666667
Bainbridge Island School District - Eagle Harbor High School,5,0.5
Bainbridge Island School District - Mosaic Home Education Partnership,4,0.666666667
Bainbridge Island School District - Odyssey Multiage Program,9,0.692307692
Bainbridge Island School District - Ordway Elementary,22,0.846153846
Bainbridge Island School District - Sonoji Sakai Intermediate,27,0.84375
Bainbridge Island School District - Woodward Middle School,22,0.628571429
Battle Ground School District,518,0.641883519
Battle Ground School District - Amboy Middle School,29,0.783783784
Battle Ground School District - Battle Ground High School,68,0.612612613
Battle Ground School District - CAM Academy,16,0.761904762
Battle Ground School District - Captain Strong,28,0.595744681
Battle Ground School District - Chief Umtuch Middle,25,0.675675676
Battle Ground School District - Daybreak Middle,19,0.542857143
Battle Ground School District - Daybreak Primary,28,0.756756757
Battle Ground School District - Glenwood Heights Primary,24,0.489795918
Battle Ground School District - Homelink River,33,0.485294118
Battle Ground School District - Laurin Middle School,34,0.755555556
Battle Ground School District - Maple Grove K-8,24,0.6
Battle Ground School District - Pleasant Valley Middle,25,0.714285714
Battle Ground School District - Pleasant Valley Primary,28,0.7
Battle Ground School District - Prairie High School,46,0.547619048
Battle Ground School District - Preschool Infant Other,1,1
Battle Ground School District - Summit View High School,9,0.818181818
Battle Ground School District - Tukes Valley Middle School,26,0.742857143
Battle Ground School District - Tukes Valley Primary,34,0.790697674
Battle Ground School District - Yacolt Primary,28,0.595744681
Bellevue School District,771,0.664082687
Bellevue School District - Ardmore Elementary School,16,0.533333333
Bellevue School District - Bellevue Big Picture School,19,0.633333333
Bellevue School District - Bellevue High School,59,0.728395062
Bellevue School District - Bennett Elementary School,24,0.727272727
Bellevue School District - Central Educational Services,2,0.5
Bellevue School District - Cherry Crest Elementary School,23,0.638888889
Bellevue School District - Chinook Middle School,27,0.490909091
