gradelevel,Organizationcode,Organizationid,Organizationname,Schoolyear,Studentcount
Pre-Kindergarten,,106140,,2017-18,9
Pre-Kindergarten,,106175,,2017-18,2
Pre-Kindergarten,1,103300,Washington State,2017-18,"29,880"
Pre-Kindergarten,1523,101228,Special Ed School,2017-18,33
Pre-Kindergarten,1530,100586,Early Childhood Center,2017-18,191
Pre-Kindergarten,1558,102512,Unassigned School,2017-18,100
Pre-Kindergarten,1560,102287,Thompson Preschool,2017-18,598
Pre-Kindergarten,1566,102675,Alternative Northeast Community Center Preschool,2017-18,19
Pre-Kindergarten,1570,102598,Monroe Special Ed Preschool,2017-18,62
Pre-Kindergarten,1594,102882,Panorama School,2017-18,54
Pre-Kindergarten,1624,101458,Issaquah Special Services,2017-18,120
Pre-Kindergarten,1648,101319,Out Of District Facility,2017-18,2
Pre-Kindergarten,1649,101513,Contractual Schools,2017-18,3
Pre-Kindergarten,1650,102365,BECC,2017-18,34
Pre-Kindergarten,1667,101483,Handicapped Contractual Services,2017-18,85
Pre-Kindergarten,1670,102643,Student Services School,2017-18,41
Pre-Kindergarten,1672,101985,Developmental Preschool,2017-18,3
Pre-Kindergarten,1675,100433,Lake Chelan Preschool,2017-18,28
Pre-Kindergarten,1683,100937,South Whidbey Special Services,2017-18,9
Pre-Kindergarten,1685,102514,Maplewood Parent Coop,2017-18,2
Pre-Kindergarten,1708,100494,Sequim Community School,2017-18,53
Pre-Kindergarten,1712,102821,Continuous Curriculum School,2017-18,1
Pre-Kindergarten,1730,102619,Snohomish Center,2017-18,14
Pre-Kindergarten,1743,103101,Meridian Special Programs,2017-18,20
Pre-Kindergarten,1765,102423,Preschool,2017-18,28
Pre-Kindergarten,1781,102183,Sumner Special Services,2017-18,36
Pre-Kindergarten,1787,100501,Cape Flattery Preschool,2017-18,10
Pre-Kindergarten,1815,101624,Northshore Special Services,2017-18,215
Pre-Kindergarten,1823,103109,Nooksack Valley Special Services,2017-18,86
Pre-Kindergarten,1825,102210,Alfaretta House,2017-18,148
Pre-Kindergarten,1830,102516,Contracted Schools,2017-18,187
Pre-Kindergarten,1831,103247,Toppenish Pre School,2017-18,269
Pre-Kindergarten,1848,102486,Special Services,2017-18,147
Pre-Kindergarten,1889,100779,Connell Preschool,2017-18,46
Pre-Kindergarten,1895,102579,ECEAP,2017-18,175
Pre-Kindergarten,1897,100474,Special Education,2017-18,25
Pre-Kindergarten,1899,103931,Washougal Special Services,2017-18,31
Pre-Kindergarten,1910,103817,Marysville SD Special,2017-18,134
Pre-Kindergarten,1914,103851,Lynden Special Services,2017-18,110
Pre-Kindergarten,1915,103852,Special Ed School,2017-18,140
Pre-Kindergarten,1924,103927,Ellensburg Developmental Preschool,2017-18,92
Pre-Kindergarten,1936,103855,Educational Resource Center,2017-18,34
Pre-Kindergarten,1937,103860,Children First,2017-18,31
Pre-Kindergarten,1939,103862,Bainbridge Special Education Services,2017-18,15
Pre-Kindergarten,1951,103878,Support School,2017-18,44
Pre-Kindergarten,1960,103915,ECEAP,2017-18,150
Pre-Kindergarten,1970,103941,Pasco Early Childhood,2017-18,158
Pre-Kindergarten,1981,103968,Developmental Pre-School,2017-18,5
Pre-Kindergarten,2000,100359,Keewaydin Discovery Center,2017-18,242
Pre-Kindergarten,2001,100404,Special Programs,2017-18,102
Pre-Kindergarten,2006,100745,Curlew Elem & High School,2017-18,18
Pre-Kindergarten,2026,101702,Poulsbo Elementary School,2017-18,36
Pre-Kindergarten,2036,102096,Larchmont,2017-18,49
Pre-Kindergarten,2052,103130,Tekoa Elementary School,2017-18,22
Pre-Kindergarten,2056,102687,Holmes Elementary,2017-18,26
Pre-Kindergarten,2061,101036,Green Lake Elementary School,2017-18,4
Pre-Kindergarten,2062,102906,Northport Elementary School,2017-18,14
Pre-Kindergarten,2065,102436,Garfield Elementary School,2017-18,35
Pre-Kindergarten,2067,103051,Roosevelt Elementary School,2017-18,3
Pre-Kindergarten,2069,101038,Madrona K-5 School,2017-18,3
Pre-Kindergarten,2074,103012,Berney Elementary School,2017-18,5
Pre-Kindergarten,2083,102100,Washington Elementary,2017-18,24
Pre-Kindergarten,2086,102688,Roosevelt Elementary,2017-18,25
Pre-Kindergarten,2087,103125,Lacrosse Elementary School,2017-18,5
Pre-Kindergarten,2089,101044,Martin Luther King Jr. Elementary School,2017-18,38
Pre-Kindergarten,2094,102102,Blix Elementary,2017-18,20
Pre-Kindergarten,2096,102689,Regal Elementary,2017-18,19
Pre-Kindergarten,2103,102104,Jefferson,2017-18,22
Pre-Kindergarten,2108,102691,Stevens Elementary,2017-18,40
Pre-Kindergarten,2109,102692,Willard Elementary,2017-18,5
Pre-Kindergarten,2110,102693,Sheridan Elementary,2017-18,23
Pre-Kindergarten,2111,102694,Jefferson Elementary,2017-18,1
Pre-Kindergarten,2114,103025,Davis Elementary,2017-18,16
Pre-Kindergarten,2115,103150,Steptoe Elementary School,2017-18,23
Pre-Kindergarten,2116,103175,Davis High School,2017-18,3
Pre-Kindergarten,2118,101049,Emerson Elementary School,2017-18,35
Pre-Kindergarten,2120,101051,Van Asselt Elementary School,2017-18,18
Pre-Kindergarten,2123,101053,Greenwood Elementary School,2017-18,17
Pre-Kindergarten,2128,102696,Audubon Elementary,2017-18,2
Pre-Kindergarten,2129,102697,Cooper Elementary,2017-18,5
Pre-Kindergarten,2133,100386,Paterson Elementary School,2017-18,10
Pre-Kindergarten,2136,100747,Orient Elem,2017-18,9
Pre-Kindergarten,2141,101056,Thurgood Marshall Elementary,2017-18,8
Pre-Kindergarten,2144,101254,Mount View Elementary,2017-18,26
Pre-Kindergarten,2145,101906,Grapeview Elementary & Middle School,2017-18,5
Pre-Kindergarten,2148,102105,Franklin,2017-18,64
Pre-Kindergarten,2155,102698,Bemiss Elementary,2017-18,3
Pre-Kindergarten,2156,102699,Adams Elementary,2017-18,2
Pre-Kindergarten,2160,103029,Touchet Elem & High School,2017-18,3
Pre-Kindergarten,2161,100740,Waterville Elementary,2017-18,3
Pre-Kindergarten,2167,102106,Fern Hill,2017-18,18
Pre-Kindergarten,2168,102107,Sheridan,2017-18,68
Pre-Kindergarten,2169,102108,Point Defiance,2017-18,17
Pre-Kindergarten,2175,103053,Silver Beach Elementary School,2017-18,102
Pre-Kindergarten,2189,102217,Park Lodge Elementary School,2017-18,1
Pre-Kindergarten,2190,102322,Elk Ridge Elementary,2017-18,15
Pre-Kindergarten,2191,102701,Whitman Elementary,2017-18,1
Pre-Kindergarten,2195,100398,Keene-Riverview Elementary,2017-18,46
Pre-Kindergarten,2196,100425,Manson Elementary,2017-18,28
Pre-Kindergarten,2199,101064,Concord International School,2017-18,34
Pre-Kindergarten,2205,102314,Eatonville Elementary School,2017-18,13
Pre-Kindergarten,2207,103154,Endicott/St John Elem and Middle,2017-18,12
Pre-Kindergarten,2209,101068,Broadview-Thomson K-8 School,2017-18,53
Pre-Kindergarten,2218,102702,Browne Elementary,2017-18,3
Pre-Kindergarten,2227,101834,Adna Elementary School,2017-18,3
Pre-Kindergarten,2233,100738,Mansfield Elem and High School,2017-18,4
Pre-Kindergarten,2244,101869,Edison Elementary,2017-18,1
Pre-Kindergarten,2247,102113,Northeast Tacoma,2017-18,51
Pre-Kindergarten,2252,102114,Manitou Park,2017-18,75
Pre-Kindergarten,2257,102268,Collins Elementary,2017-18,3
Pre-Kindergarten,2258,102703,Hutton Elementary,2017-18,2
Pre-Kindergarten,2260,102914,McKenna Elementary,2017-18,1
Pre-Kindergarten,2262,103056,Geneva Elementary School,2017-18,15
Pre-Kindergarten,2268,100874,Emerson Elementary,2017-18,1
Pre-Kindergarten,2269,101077,Highland Park Elementary School,2017-18,16
Pre-Kindergarten,2272,101743,South Kitsap High School,2017-18,2
Pre-Kindergarten,2274,101857,Cascade Elementary School,2017-18,18
Pre-Kindergarten,2275,102115,Roosevelt,2017-18,67
Pre-Kindergarten,2277,102562,Arlington Special Educ School,2017-18,59
Pre-Kindergarten,2288,101449,Snoqualmie Elementary,2017-18,47
Pre-Kindergarten,2289,101522,Redmond Elementary,2017-18,1
Pre-Kindergarten,2290,101838,Winlock Miller Elementary,2017-18,65
Pre-Kindergarten,2292,102008,North River School,2017-18,2
Pre-Kindergarten,2297,102902,Springdale Elementary,2017-18,32
Pre-Kindergarten,2307,101081,Bailey Gatzert Elementary School,2017-18,28
Pre-Kindergarten,2310,101935,Hood Canal Elementary School,2017-18,18
Pre-Kindergarten,2311,102039,Stewart Elementary,2017-18,25
Pre-Kindergarten,2312,102705,Finch Elementary,2017-18,1
Pre-Kindergarten,2321,101082,Dunlap Elementary School,2017-18,61
Pre-Kindergarten,2326,101413,Washington Elementary School,2017-18,33
Pre-Kindergarten,2328,101784,Cle Elum Roslyn Elementary,2017-18,12
Pre-Kindergarten,2334,102040,Meeker Elementary,2017-18,1
Pre-Kindergarten,2335,102117,Madison Headstart,2017-18,99
Pre-Kindergarten,2336,102118,Lyon,2017-18,2
Pre-Kindergarten,2340,103863,Midland Elementary,2017-18,1
Pre-Kindergarten,2345,103230,Mcclure Elementary School,2017-18,62
Pre-Kindergarten,2347,100462,Mission View Elementary School,2017-18,1
Pre-Kindergarten,2358,102121,Stanley,2017-18,58
Pre-Kindergarten,2360,102205,Orting Primary School,2017-18,18
Pre-Kindergarten,2361,102316,Weyerhaeuser Elementary,2017-18,1
Pre-Kindergarten,2368,100477,Jefferson Elementary,2017-18,17
Pre-Kindergarten,2381,102706,Arlington Elementary,2017-18,4
Pre-Kindergarten,2385,102909,Kettle Falls Elementary School,2017-18,9
Pre-Kindergarten,2387,103058,Sunnyland Elementary School,2017-18,12
Pre-Kindergarten,2396,101960,Pateros Elementary,2017-18,7
Pre-Kindergarten,2398,102270,Central Avenue Elementary,2017-18,3
Pre-Kindergarten,2406,102989,Griffin School,2017-18,27
Pre-Kindergarten,2422,101975,Oroville Elementary,2017-18,30
