Classof,Measure Names,Organization Code,Organization Name,organizationid,Suppression Label,Measure Values,Cohort Numberof Students
Class of 2018,Graduated,,,, ,0.188333333,"5,400"
Class of 2018,Continued,,,, ,0.327407407,"5,400"
Class of 2018,Dropped Out,,,, ,0.484259259,"5,400"
Class of 2018,Graduated,1,Washington State,103300, ,0.808656958,"84,048"
Class of 2018,Continued,1,Washington State,103300, ,0.079716353,"84,048"
Class of 2018,Dropped Out,1,Washington State,103300, ,0.111626690,"84,048"
Class of 2018,Graduated,1502,Two Rivers School,101445, ,0.55,20
Class of 2018,Continued,1502,Two Rivers School,101445, ,0.1,20
Class of 2018,Dropped Out,1502,Two Rivers School,101445, ,0.35,20
Class of 2018,Graduated,1506,Quincy Innovation Academy,103883, ,0.117647059,17
Class of 2018,Continued,1506,Quincy Innovation Academy,103883, ,0.235294118,17
Class of 2018,Dropped Out,1506,Quincy Innovation Academy,103883, ,0.647058824,17
Class of 2018,Graduated,1508,Computer Academy Toppenish High School,103245, ,0.369863014,73
Class of 2018,Continued,1508,Computer Academy Toppenish High School,103245, ,0.178082192,73
Class of 2018,Dropped Out,1508,Computer Academy Toppenish High School,103245, ,0.452054795,73
Class of 2018,Graduated,1510,Challenger High School,102285, ,0.59375,128
Class of 2018,Continued,1510,Challenger High School,102285, ,0.2265625,128
Class of 2018,Dropped Out,1510,Challenger High School,102285, ,0.1796875,128
Class of 2018,Graduated,1516,Henderson Bay Alt High School,102248, ,0.351851852,54
Class of 2018,Continued,1516,Henderson Bay Alt High School,102248, ,0.314814815,54
Class of 2018,Dropped Out,1516,Henderson Bay Alt High School,102248, ,0.333333333,54
Class of 2018,Graduated,1518,Smokiam Alternative High School,100816, ,0.214285714,14
Class of 2018,Continued,1518,Smokiam Alternative High School,100816, ,0,14
Class of 2018,Dropped Out,1518,Smokiam Alternative High School,100816, ,0.785714286,14
Class of 2018,Graduated,1519,Edmonds eLearning Academy,102509, ,0.270833333,48
Class of 2018,Continued,1519,Edmonds eLearning Academy,102509, ,0.104166667,48
Class of 2018,Dropped Out,1519,Edmonds eLearning Academy,102509, ,0.625,48
Class of 2018,Graduated,1537,State Street High School,102374, ,0.235294118,119
Class of 2018,Continued,1537,State Street High School,102374, ,0.369747899,119
Class of 2018,Dropped Out,1537,State Street High School,102374, ,0.394957983,119
Class of 2018,Graduated,1547,Middle College High School,100973, ,0.45,40
Class of 2018,Continued,1547,Middle College High School,100973, ,0.3,40
Class of 2018,Dropped Out,1547,Middle College High School,100973, ,0.25,40
Class of 2018,Graduated,1594,Panorama School,102882, ,0.458333333,24
